LID , TA , TE , ED , PAFRAC , PR , PRD , SHEI
tile_0006 ,121.688,11851.164,97.3897,1.3014,5,4.1089,0.8156
tile_0014 ,4624.3083,636384.606,137.6173,1.3294,15,0.3244,0.7655
tile_0004 ,182.7369,17290.104,94.6175,1.2543,6,3.2834,0.6769
tile_0008 ,1817.3715,164456.37,90.4913,1.3292,12,0.6603,0.4897
tile_0001 ,1.1472,0,0, N/A ,1,87.1667,0
tile_0011 ,7229.6608,903493.812,124.9704,1.3378,13,0.1798,0.7037
tile_0007 ,1171.2368,164857.134,140.7547,1.359,9,0.7684,0.7335
tile_0012 ,4251.0497,599628.822,141.0543,1.3469,12,0.2823,0.6371
tile_0002 ,19.257,3263.364,169.4636,1.4458,3,15.5787,0.9746
tile_0003 ,100.1365,16860.714,168.3773,1.3145,5,4.9932,0.8506
tile_0009 ,2228.6524,188902.974,84.7611,1.3435,8,0.359,0.428
tile_0005 ,0.1639,0,0, N/A ,1,610.1669,0
tile_0013 ,1479.3493,138378.084,93.5398,1.3355,12,0.8112,0.5697
tile_0015 ,4517.4523,564876.858,125.0432,1.3363,12,0.2656,0.6413
tile_0020 ,5846.8425,682701.474,116.7641,1.3408,12,0.2052,0.5473
tile_0018 ,10747.6325,1463189.364,136.1406,1.3159,14,0.1303,0.8095
tile_0010 ,2.2945,372.138,162.1902, N/A ,4,174.3334,0.8033
tile_0016 ,404.0697,47719.542,118.0973,1.3197,7,1.7324,0.6969
tile_0022 ,7800.3243,978408.054,125.4317,1.3346,9,0.1154,0.6022
tile_0019 ,1242.6108,167204.466,134.559,1.3319,12,0.9657,0.7076
tile_0017 ,167.9049,12938.952,77.0612,1.3292,6,3.5735,0.5237
tile_0021 ,67.7683,10276.734,151.6451,1.338,4,5.9025,0.6922
